County,Year,all_irrigatedfarms_acres,with_harvestland_acres,with_othercropland_acres,with_pastureland_acres,all_irrigatedland_acres,irrigatedcrop_acre,irrigated_pasture_acre
Baca,2017,408922,128298,108243,144817,45519,44643,876
Bent,2017,348641,36107,23178,286392,38828,33572,5256
Boulder,2017,75034,26653,3233,39016,27232,23432,3800
Broomfield,2017,7208,2200,4999,Withheld,1231,Withheld,Withheld
Chaffee,2017,55230,12269,2176,36305,16464,12263,4201
Cheyenne,2017,276504,93394,77317,100792,23554,Withheld,Withheld
Clear Creek,2017,8107,Withheld,100,1648,286,173,113
Conejos,2017,243023,99503,19913,100289,119518,97090,22428
Costilla,2017,Withheld,30413,9083,43715,39343,29685,9658
Crowley,2017,194063,6952,4046,181692,4684,4052,632
Custer,2017,79202,19111,3063,53717,22558,18021,4537
Delta,2017,218695,48588,9983,122405,66762,46728,20034
Denver,2017,11,11,Withheld,Withheld,Withheld,Withheld,Withheld
Dolores,2017,69116,11451,7735,45636,7241,6252,989
Douglas,2017,38295,4156,1818,29669,2285,1843,442
Eagle,2017,138876,11304,2341,83817,14780,11193,3587
Elbert,2017,228749,14597,16652,193253,6690,6202,488
El Paso,2017,55365,5990,2839,44242,8922,5529,3393
Fremont,2017,128200,9482,2752,100820,11254,9294,1960
Garfield,2017,393994,39035,11240,278627,51961,36536,15425
Gilpin,2017,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld
Grand,2017,213518,29335,681,160036,36290,28949,7341
Gunnison,2017,234343,41125,2481,156607,57672,41105,16567
Hinsdale,2017,10100,947,Withheld,4051,2461,767,1694
Huerfano,2017,195205,8194,1799,171846,8573,7431,1142
Jackson,2017,263675,58880,Withheld,173249,70448,58210,12238
Jefferson,2017,21711,821,440,11026,1190,564,626
Kiowa,2017,163466,62301,43299,57248,2740,Withheld,Withheld
Kit Carson,2017,868865,364014,202553,297064,117816,116014,1802
Lake,2017,9303,530,Withheld,8763,1872,490,1382
La Plata,2017,481855,38356,22247,296996,58522,35488,23034
Larimer,2017,282031,57651,8725,191701,60191,48869,11322
Las Animas,2017,456710,14041,16127,333636,17327,13351,3976
Lincoln,2017,180325,22117,14189,142893,5804,5804,Withheld
Logan,2017,371852,143262,37241,181208,107058,104452,2606
Mesa,2017,282428,49412,13321,173037,76221,47648,28573
Mineral,2017,Withheld,Withheld,Withheld,5522,2887,Withheld,Withheld
Moffat,2017,655956,28703,21547,568967,30141,23715,6426
Montezuma,2017,615058,69633,15218,500459,79029,63367,15662
Montrose,2017,275273,44689,7928,185822,79821,43286,36535
Morgan,2017,362651,163311,45386,142132,132296,131315,981
Otero,2017,225982,49950,10499,161894,49291,46115,3176
Ouray,2017,76585,7883,418,51061,8603,6963,1640
Park,2017,84658,6113,2244,68334,12040,5934,6106
Phillips,2017,247886,166967,55679,21724,79278,Withheld,Withheld
Pitkin,2017,23987,4555,307,11512,10082,4211,5871
Prowers,2017,488773,146752,109014,226994,88311,86112,2199
Pueblo,2017,133499,16402,4724,107793,18078,15067,3011
Rio Blanco,2017,309846,25922,7085,252235,27124,23338,3786
Rio Grande,2017,161797,83962,16542,47942,93586,80609,12977
Routt,2017,338093,37017,10773,209281,42745,29737,13008
Saguache,2017,299538,99031,25415,154424,118411,91983,26428
San Juan,2017,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld
San Miguel,2017,91010,4507,1668,76547,15918,4427,11491
Sedgwick,2017,230573,109848,35536,83939,40407,40155,252
Summit,2017,24289,3852,82,15555,5509,3843,1666
Teller,2017,25374,Withheld,268,17804,874,Withheld,Withheld
Washington,2017,329608,97147,49732,181129,40427,40269,158
Weld,2017,821185,391161,117266,288453,323436,303156,20280
Yuma,2017,890326,314029,115336,446868,208967,204795,4172
Colorado,2022,13050625,2948391,1461096,7499077,2287808,1931173,356635
Adams,2022,124338,45914,37545,34050,12101,11929,172
Alamosa,2022,98280,45444,14279,28260,57143,41542,15601
Arapahoe,2022,30559,2512,4627,23033,987,820,167
Archuleta,2022,116399,11923,2693,68253,21457,11783,9674
Baca,2022,411689,112143,96023,171711,40768,37231,3537
Bent,2022,348453,38132,20139,277672,37479,34566,2913
Boulder,2022,47701,22006,2607,18262,22148,18240,3908
Broomfield,2022,Withheld,Withheld,Withheld,0,Withheld,Withheld,0
Chaffee,2022,44621,7356,788,28915,11211,7346,3865
Cheyenne,2022,263193,99669,62377,90587,18192,17592,600
Clear Creek,2022,6733,142,Withheld,Withheld,154,Withheld,Withheld
Conejos,2022,154462,59443,10721,75097,81014,57239,23775
Costilla,2022,58958,18422,12259,26181,18456,15116,3340
Crowley,2022,69109,2791,5070,59939,1994,1618,376
Custer,2022,36155,7091,603,20333,7748,6996,752
Delta,2022,158182,37532,12779,73896,50169,35168,15001
Denver,2022,41,21,Withheld,Withheld,Withheld,Withheld,Withheld
Dolores,2022,67271,10075,12862,27083,5415,4274,1141
Douglas,2022,35618,1276,1020,31102,791,628,163
Eagle,2022,92819,12874,3759,47200,14410,12816,1594
Elbert,2022,203138,11756,11137,177772,5795,5599,196
El Paso,2022,61285,3912,2312,51153,4537,3450,1087
Fremont,2022,82511,6944,4242,62516,8402,6631,1771
Garfield,2022,288632,32389,10478,166431,39667,30490,9177
Gilpin,2022,380,92,0,42,42,42,0
Grand,2022,198776,29853,4284,136116,37130,28694,8436
Gunnison,2022,206489,35188,1068,138243,48395,35175,13220
Hinsdale,2022,Withheld,Withheld,Withheld,4047,2208,Withheld,Withheld
Huerfano,2022,56523,3854,1210,41733,4212,3429,783
Jackson,2022,349365,77829,1008,230686,89555,70535,19020
Jefferson,2022,12040,1137,193,Withheld,987,650,337
Kiowa,2022,138110,10969,Withheld,61295,2513,2095,418
Kit Carson,2022,815955,308204,224938,266657,84681,83893,788
Lake,2022,8361,790,366,6686,1268,702,566
La Plata,2022,458886,39005,17242,286347,64660,38652,26008
Larimer,2022,269148,56204,9878,191261,67568,49053,18515
Las Animas,2022,353169,12893,8551,269946,16586,11888,4698
Lincoln,2022,146430,7364,11313,127375,5376,2076,3300
Logan,2022,392581,127762,60518,194314,91154,86691,4463
Mesa,2022,202088,38931,6991,115341,54238,38600,15638
Mineral,2022,12785,1230,4955,980,1230,1230,0
Moffat,2022,642735,22688,15566,560092,23099,17730,5369
Montezuma,2022,614384,40614,19409,Withheld,50165,38228,11937
Montrose,2022,229170,40947,12807,143369,61660,38051,23609
Morgan,2022,302611,104321,30639,160006,83576,81777,1799
Otero,2022,266808,39535,15435,208379,38109,35897,2212
Ouray,2022,81600,7332,5135,55841,8941,7332,1609
Park,2022,79016,6049,2307,45663,7126,5752,1374
Phillips,2022,250902,151053,80149,16185,81066,80608,458
Pitkin,2022,28803,4680,864,16709,7751,4679,3072
Prowers,2022,357276,130613,70177,147902,89935,87658,2277
Pueblo,2022,237384,12567,14638,200548,13392,11421,1971
Rio Blanco,2022,346289,18694,7092,282234,19778,16703,3075
Rio Grande,2022,159319,73972,13499,58631,83263,69560,13703
Routt,2022,462760,60210,4468,286072,59898,47643,12255
Saguache,2022,278421,78530,44234,128921,92184,70377,21807
San Juan,2022,0,0,0,0,0,0,0
San Miguel,2022,70159,3582,2654,56716,11172,3041,8131
Sedgwick,2022,138866,63203,36116,36778,28115,27455,660
Summit,2022,14674,2030,221,8541,5688,1823,3865
Teller,2022,10689,999,100,5817,1322,Withheld,Withheld
Washington,2022,347262,117838,97389,129670,29990,26777,3213
Weld,2022,793447,341188,103289,320898,274813,263379,11434
Yuma,2022,909964,285551,139016,474875,184757,179235,5522
