County,Year,all_irrigatedfarms_acres,with_harvestland_acres,with_othercropland_acres,with_pastureland_acres,all_irrigatedland_acres,irrigatedcrop_acre,irrigated_pasture_acre
Las Animas,1987,817732,19695,5403,773491,32426,19237,13189
Lincoln,1987,139277,12263,13631,88923,4984,4734,250
Logan,1987,412259,118820,58492,222800,94503,88305,6198
Mesa,1987,416948,56828,10036,309133,81824,55966,25858
Mineral,1987,8127,Withheld,0,6437,1505,Withheld,Withheld
Moffat,1987,648548,24599,15483,587249,42411,16407,26004
Montezuma,1987,749669,23282,11977,585624,35539,18440,17099
Montrose,1987,396909,61207,6543,281217,86529,60939,25590
Morgan,1987,382339,138329,52955,178026,119494,115701,3793
Otero,1987,390570,52823,13602,Withheld,56266,51861,4405
Ouray,1987,146209,9433,208,116209,13350,9358,3992
Park,1987,205083,12314,398,184993,14346,11716,2630
Phillips,1987,232577,115630,71751,Withheld,70283,66643,3640
Pitkin,1987,32026,Withheld,379,22509,13926,6136,7790
Prowers,1987,373177,126462,76907,Withheld,104831,102409,2422
Pueblo,1987,197607,28382,7165,154563,31647,27700,3947
Rio Blanco,1987,368882,25255,7066,322226,26999,21225,5774
Rio Grande,1987,194329,81276,20848,79587,116779,81028,35751
Routt,1987,399079,38174,20595,304369,44432,30006,14426
Saguache,1987,439090,103132,24034,297119,136553,102439,34114
San Juan,1987,Withheld,0,0,Withheld,Withheld,0,Withheld
San Miguel,1987,131039,5443,565,122046,10859,5391,5468
Sedgwick,1987,181406,60855,32033,85303,39524,38624,900
Summit,1987,30816,6885,Withheld,19194,10465,6885,3580
Teller,1987,48674,1148,Withheld,30560,1003,914,89
Washington,1987,393242,92014,58818,238519,39547,38409,1138
Weld,1987,952475,387925,122594,397097,358565,335961,22604
Yuma,1987,1050101,309445,157527,567369,246116,226351,19765
Colorado,1992,16647647,3390951,1206604,10841095,3169839,2649111,520728
Adams,1992,140105,62753,43034,29774,28763,26744,2019
Alamosa,1992,191769,75752,8714,99894,97297,71827,25470
Arapahoe,1992,66662,8779,11105,45384,3314,3033,281
Archuleta,1992,90314,4788,491,75896,14741,4468,10273
Baca,1992,318022,106264,73096,134510,51156,50353,803
Bent,1992,387050,52357,12014,319764,52877,51001,1876
Boulder,1992,126112,39895,4535,72966,44642,36552,8090
Broomfield,1992,,,,,,,
Chaffee,1992,79406,Withheld,326,64125,16428,9778,6650
Cheyenne,1992,229912,47776,49800,123634,15779,15779,0
Clear Creek,1992,3557,Withheld,0,Withheld,156,Withheld,Withheld
Conejos,1992,281353,90176,6510,160239,117364,87186,30178
Costilla,1992,329386,35018,17721,261522,41604,34612,6992
Crowley,1992,100040,12022,9373,77328,11552,10162,1390
Custer,1992,123131,Withheld,128,103134,19363,13532,5831
Delta,1992,234737,47703,5136,137356,71690,47100,24590
Denver,1992,Withheld,Withheld,0,Withheld,Withheld,Withheld,0
Dolores,1992,67592,17524,5651,36988,7611,5470,2141
Douglas,1992,91279,6484,2806,76570,3346,2675,671
Eagle,1992,192624,14753,494,160108,24093,14694,9399
Elbert,1992,200410,11372,5831,177254,5967,5669,298
El Paso,1992,160136,11098,2200,139198,10861,8180,2681
Fremont,1992,240148,10249,1098,201065,12779,9944,2835
Garfield,1992,355672,34932,8003,278072,48999,32943,16056
Gilpin,1992,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld,Withheld
Grand,1992,289411,Withheld,52,190355,39079,29809,9270
Gunnison,1992,157181,Withheld,135,116542,49271,30072,19199
Hinsdale,1992,Withheld,1192,Withheld,4253,1682,1192,490
Huerfano,1992,330061,13364,493,297518,13487,11994,1493
Jackson,1992,417194,Withheld,Withheld,303129,101408,78387,23021
Jefferson,1992,31355,2336,924,23745,3077,2024,1053
Kiowa,1992,39885,10064,13393,16296,2276,Withheld,Withheld
Kit Carson,1992,744977,276579,187916,275116,139413,138719,694
Lake,1992,Withheld,Withheld,Withheld,10108,6668,645,6023
La Plata,1992,542667,38402,15911,189498,85394,32239,53155
Larimer,1992,303816,76000,12668,197861,82724,68546,14178
Las Animas,1992,796821,20821,9305,743390,23775,19319,4456
Lincoln,1992,105507,15059,13838,76039,4167,Withheld,Withheld
Logan,1992,364520,125686,40681,191354,104617,101200,3417
Mesa,1992,387665,Withheld,5071,300016,78267,55781,22486
Mineral,1992,6077,Withheld,0,Withheld,1057,Withheld,Withheld
Moffat,1992,755710,22589,15632,697973,20382,14121,6261
Montezuma,1992,778953,48509,16541,579959,55193,35864,19329
Montrose,1992,375083,60887,5169,253743,84782,60437,24345
Morgan,1992,394172,157971,42557,183303,145766,143295,2471
Otero,1992,312950,Withheld,8363,240864,60432,54611,5821
Ouray,1992,109835,10774,Withheld,93978,13555,10739,2816
Park,1992,126750,8940,173,101081,11415,8316,3099
Phillips,1992,248839,136691,68705,39890,80426,78792,1634
Pitkin,1992,28976,5308,731,20687,11314,5158,6156
Prowers,1992,429181,141355,82102,198222,113922,111434,2488
Pueblo,1992,294173,29116,14330,243767,31515,28635,2880
Rio Blanco,1992,395654,22218,3565,346930,27368,20550,6818
Rio Grande,1992,213414,85261,11585,106952,113954,85035,28919
Routt,1992,434512,37702,8611,364194,46284,29494,16790
Saguache,1992,414896,Withheld,13979,276402,125839,102388,23451
San Juan,1992,Withheld,Withheld,0,Withheld,Withheld,Withheld,0
San Miguel,1992,151245,7500,899,134965,15824,7460,8364
Sedgwick,1992,198917,69640,35000,92347,45599,44126,1473
Summit,1992,Withheld,Withheld,0,17252,4700,3310,1390
Teller,1992,39562,1371,Withheld,22942,1243,1181,62
Washington,1992,378584,113151,91284,170907,44242,43439,803
Weld,1992,1010937,440069,98575,428244,407293,377993,29300
Yuma,1992,978008,337575,119514,511863,271781,263558,8223
Colorado,1997,16265182,3618930,1171343,9930005,3430129,2762068,668061
Adams,1997,138625,54312,47316,32671,27140,25381,1759
Alamosa,1997,180602,82264,6598,84004,106104,80892,25212
Arapahoe,1997,92448,15229,26326,49474,3901,3836,65
Archuleta,1997,90194,4358,4250,58253,16764,3533,13231
Baca,1997,359957,136624,108844,111705,65068,63994,1074
Bent,1997,404381,59965,7224,333437,62709,57881,4828
Boulder,1997,98253,35967,3300,52939,39464,32796,6668
Broomfield,1997,,,,,,,
Chaffee,1997,79174,15875,776,49045,24406,15839,8567
Cheyenne,1997,191365,56449,49756,84056,20632,Withheld,Withheld
Clear Creek,1997,Withheld,Withheld,0,Withheld,Withheld,Withheld,Withheld
Conejos,1997,274440,97587,11687,142079,130581,96497,34084
Costilla,1997,Withheld,35779,8919,79528,44010,35095,8915
Crowley,1997,143006,18463,11391,111387,21647,15090,6557
Custer,1997,121096,15724,124,96627,19633,14632,5001
Delta,1997,268227,45398,5749,172263,70981,45116,25865
Denver,1997,30,14,0,0,14,14,0
Dolores,1997,87952,22478,12661,45988,7508,6359,1149
Douglas,1997,49021,5230,3977,34762,3645,2939,706
Eagle,1997,136903,Withheld,284,93522,16637,11124,5513
Elbert,1997,165551,11837,7084,142309,6135,5254,881
El Paso,1997,190526,18221,1645,166364,15010,12416,2594
Fremont,1997,180456,9030,641,154990,19272,8849,10423
Garfield,1997,336352,37681,3433,254609,51383,36353,15030
Gilpin,1997,Withheld,Withheld,0,0,Withheld,Withheld,0
Grand,1997,233091,Withheld,1273,169049,39778,27673,12105
Gunnison,1997,157502,Withheld,Withheld,116062,51397,27732,23665
Hinsdale,1997,Withheld,583,841,3323,2324,583,1741
Huerfano,1997,302502,11879,185,264018,16208,11339,4869
Jackson,1997,377025,Withheld,0,262414,123645,78576,45069
Jefferson,1997,31219,2574,215,23377,3277,1459,1818
Kiowa,1997,118428,25227,27296,64399,5922,5562,360
Kit Carson,1997,747495,293110,166752,276178,145730,143718,2012
Lake,1997,Withheld,Withheld,0,12793,3917,359,3558
La Plata,1997,536044,35605,7148,187494,71855,31801,40054
Larimer,1997,338584,75766,13264,228938,77695,67993,9702
Las Animas,1997,697944,18990,7645,615796,24020,17678,6342
Lincoln,1997,237070,18758,14326,196771,4509,4374,135
Logan,1997,405028,135674,45505,210659,109198,103024,6174
Mesa,1997,368397,58179,4860,275856,87648,56815,30833
Mineral,1997,2883,Withheld,0,1242,183,Withheld,Withheld
Moffat,1997,614289,28222,16256,554298,29576,17205,12371
Montezuma,1997,880275,57347,7284,579470,61081,42508,18573
Montrose,1997,356610,64920,3600,236681,85040,63591,21449
Morgan,1997,387753,145478,37757,192316,142212,132044,10168
Otero,1997,262702,54664,4496,194294,63001,53344,9657
Ouray,1997,108657,9308,Withheld,84077,18349,9235,9114
Park,1997,181552,10770,1838,158840,17998,10150,7848
Phillips,1997,264257,159212,61258,41307,87816,86236,1580
Pitkin,1997,23172,Withheld,185,13295,9650,6125,3525
Prowers,1997,401092,155427,77808,158451,111091,107456,3635
Pueblo,1997,306010,31475,6229,250816,35638,29713,5925
Rio Blanco,1997,353399,23947,12166,298550,35905,22365,13540
Rio Grande,1997,228706,110217,9898,92330,136141,109345,26796
Routt,1997,350820,39189,10649,260136,49920,30577,19343
Saguache,1997,450546,Withheld,10511,305005,207200,121011,86189
San Juan,1997,Withheld,Withheld,0,Withheld,Withheld,Withheld,Withheld
San Miguel,1997,130595,5046,5192,113513,12341,4996,7345
Sedgwick,1997,193651,81987,28378,80790,51698,50630,1068
Summit,1997,32806,Withheld,0,15411,10939,5882,5057
Teller,1997,27826,1465,0,18590,1646,1136,510
Washington,1997,382194,135944,93292,149608,55568,52664,2904
Weld,1997,942783,414218,82362,408423,393030,365194,27836
Yuma,1997,916505,354577,87342,462169,274057,267226,6831
Colorado,2002,12864432,2840736,1690786,7039625,2590654,2178748,411906
Adams,2002,165784,62375,71056,28525,28890,24799,4091
Alamosa,2002,177587,78484,15682,77169,93968,77502,16466
Arapahoe,2002,74444,11434,10894,47483,3233,3073,160
Archuleta,2002,43040,3428,1525,25834,7515,3080,4435
Baca,2002,249959,69473,114835,62077,47801,46880,921
Bent,2002,337100,31797,70074,231822,30219,27381,2838
Boulder,2002,74801,29428,6627,29675,31403,25636,5767
Broomfield,2002,,,,,,,
Chaffee,2002,47799,7488,5009,29065,8818,6286,2532
Cheyenne,2002,145730,49118,54002,25793,29373,28566,807
Clear Creek,2002,Withheld,260,0,Withheld,Withheld,Withheld,Withheld
Conejos,2002,182796,48373,31697,87605,59209,44521,14688
Costilla,2002,277560,32584,11880,44864,34866,29895,4971
Crowley,2002,79053,6303,6324,65073,6156,4834,1322
Custer,2002,62333,2702,7179,50548,3487,2448,1039
Delta,2002,211472,33210,10612,130600,54184,31721,22463
Denver,2002,11,9,0,0,9,9,0
Dolores,2002,70178,14595,19662,29541,9966,8238,1728
Douglas,2002,23860,3870,1441,16470,3533,2730,803
Eagle,2002,82567,5599,1327,54161,9306,5448,3858
Elbert,2002,175647,18422,16596,131681,6164,5528,636
El Paso,2002,197958,9943,4238,175909,10025,8427,1598
Fremont,2002,106892,7026,3263,65189,11882,6364,5518
Garfield,2002,324530,20822,14921,252642,34217,18897,15320
Gilpin,2002,0,0,0,0,0,0,0
